transaction_id,customer_id,timestamp,amount,transaction_type,location,device,merchant_category,is_suspicious
T000034,C1338,2026-01-30 15:50:12.988110,17199.46,debit,Chennai,Online,Restaurant,0
T000035,C0022,2025-11-15 15:56:12.988110,2785.2,debit,Bangalore,Mobile Banking,Fuel,0
T000036,C0253,2025-11-24 10:47:12.988110,2585.33,debit,Mumbai,Online,Travel,0
T000037,C0748,2025-09-21 05:50:12.988110,1558.07,debit,Delhi,Mobile Banking,Restaurant,0
T000038,C0857,2025-08-31 05:16:12.988110,3591.78,debit,Delhi,ATM,Fuel,0
T000039,C1585,2026-01-02 23:53:12.988110,4532.51,credit,Kolkata,Mobile Banking,Travel,0
T000040,C0475,2025-12-02 03:14:12.988110,2708.02,debit,Hyderabad,Mobile Banking,Restaurant,0
T000041,C1083,2025-10-16 11:33:12.988110,2502.8,debit,Chennai,ATM,Shopping,0
T000042,C0511,2026-01-25 03:40:12.988110,6026.98,debit,Hyderabad,Mobile Banking,Grocery,0
T000043,C1706,2026-02-07 03:47:12.988110,14956.38,debit,Mumbai,ATM,Fuel,0
T000044,C1500,2025-12-13 15:47:12.988110,10511.38,credit,Bangalore,Online,Electronics,0
T000045,C0700,2025-10-27 02:57:12.988110,631.33,debit,Delhi,Online,Electronics,1
T000046,C0976,2025-09-06 09:57:12.988110,5282.2,debit,Delhi,Mobile Banking,Restaurant,0
T000047,C1807,2025-12-30 20:13:12.988110,35.36,debit,Mumbai,ATM,Fuel,0
T000048,C0190,2025-09-08 12:06:12.988110,5013.22,debit,Delhi,ATM,Utilities,0
T000049,C0958,2025-09-19 00:12:12.988110,3121.41,debit,Kolkata,POS,Electronics,1
T000050,C0687,2026-01-07 10:49:12.988110,3377.65,debit,Bangalore,POS,Restaurant,0
T000051,C0958,2025-09-17 20:45:12.988110,4433.97,debit,Kolkata,POS,Grocery,0
T000052,C0563,2025-10-04 21:01:12.988110,6786.7,credit,Mumbai,ATM,Travel,0
T000053,C1900,2025-08-18 18:59:12.988110,6536.64,debit,Chennai,Online,Shopping,0
T000054,C1591,2025-08-23 03:53:12.988110,227.49,debit,Hyderabad,Mobile Banking,Electronics,0
T000055,C1268,2025-12-27 01:08:12.988110,6668.4,debit,Chennai,ATM,Grocery,1
T000056,C0832,2025-10-02 20:55:12.988110,8854.37,debit,Delhi,Online,Restaurant,0
T000057,C1529,2025-12-05 00:36:12.988110,353.04,debit,Hyderabad,Online,Utilities,1
T000058,C1155,2025-10-02 01:15:12.988110,1950.03,debit,Delhi,POS,Restaurant,1
T000059,C1509,2025-08-25 13:27:12.988110,7852.63,credit,Kolkata,POS,Restaurant,0
T000060,C1843,2025-10-31 02:22:12.988110,3397.27,credit,Chennai,ATM,Grocery,0
T000061,C0647,2025-10-30 04:07:12.988110,5935.43,debit,Chennai,Mobile Banking,Fuel,0
T000062,C0021,2025-12-13 07:03:12.988110,3488.95,credit,Mumbai,Online,Restaurant,0
T000063,C0841,2026-01-14 01:12:12.988110,19134.38,credit,Delhi,POS,Restaurant,0
T000064,C0167,2025-12-02 00:40:12.988110,13759.47,debit,Hyderabad,ATM,Restaurant,1
T000065,C1298,2025-11-20 22:45:12.988110,1650.48,debit,Mumbai,Mobile Banking,Utilities,0
T000066,C0388,2025-12-18 08:18:12.988110,2437.86,debit,Mumbai,POS,Shopping,0
T000067,C0601,2025-09-07 18:27:12.988110,2822.42,debit,Chennai,Mobile Banking,Utilities,0
T000068,C0316,2026-01-04 12:02:12.988110,550.21,debit,Bangalore,POS,Utilities,0
T000069,C0014,2025-11-25 06:05:12.988110,2588.2,debit,Delhi,Online,Electronics,0
T000070,C0242,2026-01-19 17:02:12.988110,7454.89,debit,Chennai,POS,Grocery,0
T000071,C0777,2025-12-01 13:39:12.988110,9383.2,debit,Delhi,Online,Travel,0
T000072,C1370,2025-12-31 11:08:12.988110,10863.61,debit,Bangalore,Mobile Banking,Shopping,0
T000073,C0565,2025-10-09 11:18:12.988110,73.33,debit,Kolkata,POS,Shopping,0
T000074,C0898,2025-12-26 21:39:12.988110,7774.89,debit,Chennai,POS,Restaurant,0
T000075,C1364,2026-01-07 00:17:12.988110,3492.08,credit,Bangalore,Mobile Banking,Grocery,0
T000076,C0092,2025-11-09 16:15:12.988110,1154.36,debit,Bangalore,ATM,Grocery,0
T000077,C1391,2025-10-31 18:42:12.988110,3453.2,credit,Kolkata,Online,Fuel,0
T000078,C0956,2025-10-30 19:39:12.988110,9297.85,debit,Chennai,ATM,Electronics,0
T000079,C1479,2025-12-02 01:11:12.988110,2848.01,debit,Chennai,Mobile Banking,Shopping,1
T000080,C1452,2025-11-24 03:06:12.988110,23261.88,debit,Bangalore,Mobile Banking,Electronics,0
T000081,C0509,2025-08-29 17:50:12.988110,4794.47,debit,Delhi,Online,Shopping,0
T000082,C0776,2025-10-29 20:05:12.988110,3364.41,credit,Hyderabad,Mobile Banking,Utilities,0
T000083,C1967,2025-12-15 00:11:12.988110,1747.0,debit,Chennai,Online,Fuel,1
T000084,C0035,2025-12-03 11:52:12.988110,55.56,debit,Mumbai,ATM,Grocery,0
T000085,C0206,2026-02-06 22:58:12.988110,4715.08,debit,Bangalore,Online,Restaurant,0
T000086,C1105,2025-10-01 21:35:12.988110,4307.78,credit,Hyderabad,POS,Utilities,0
T000087,C1956,2025-10-24 15:40:12.988110,3636.77,credit,Hyderabad,Online,Utilities,0
T000088,C1586,2025-12-31 08:04:12.988110,3857.75,debit,Hyderabad,ATM,Electronics,0
T000089,C1896,2025-11-16 19:27:12.988110,9274.21,debit,Kolkata,POS,Restaurant,0
T000090,C1412,2026-01-01 23:11:12.988110,1905.35,credit,Bangalore,ATM,Travel,0
T000091,C1026,2026-01-18 21:55:12.988110,3995.36,credit,Hyderabad,Mobile Banking,Travel,0
T000092,C1022,2026-02-05 12:44:12.988110,5696.35,credit,Kolkata,POS,Fuel,0
T000093,C1414,2025-11-10 17:35:12.988110,1177.47,debit,Hyderabad,Mobile Banking,Electronics,0
T000094,C0566,2025-10-25 10:54:12.988110,12939.31,credit,Chennai,Online,Utilities,0
T000095,C1130,2025-12-04 07:54:12.988110,6680.34,debit,Hyderabad,Online,Restaurant,0
T000096,C1796,2026-01-05 03:50:12.988110,273.84,debit,Hyderabad,Online,Shopping,0
T000097,C1846,2025-12-30 20:59:12.988110,10016.36,credit,Delhi,Online,Grocery,0
T000098,C1501,2025-11-11 08:34:12.988110,13287.03,debit,Delhi,ATM,Travel,0
T000099,C0703,2025-11-30 19:15:12.988110,7891.39,debit,Chennai,POS,Travel,0
T000100,C0402,2025-12-24 15:32:12.988110,2777.59,credit,Bangalore,ATM,Grocery,0
T000101,C0730,2025-09-05 17:34:12.988110,25904.36,credit,Hyderabad,ATM,Electronics,0
T000102,C1580,2025-09-18 05:15:12.988110,664.43,credit,Chennai,Online,Grocery,0
T000103,C0162,2025-09-05 08:45:12.988110,3845.89,debit,Mumbai,ATM,Grocery,0
T000104,C0202,2025-08-19 05:07:12.988110,934.0,credit,Mumbai,POS,Electronics,0
T000105,C1982,2025-11-19 05:45:12.988110,2893.28,debit,Chennai,ATM,Grocery,0
T000106,C0996,2025-08-16 02:27:12.988110,13115.63,debit,Delhi,POS,Travel,1
T000107,C0270,2025-10-16 06:49:12.988110,7905.74,debit,Bangalore,Online,Electronics,0
T000108,C1887,2025-08-17 11:22:12.988110,7618.18,debit,Mumbai,ATM,Travel,0
T000109,C0816,2025-11-02 18:57:12.988110,2183.65,debit,Kolkata,ATM,Grocery,0
T000110,C1295,2025-10-25 13:34:12.988110,13611.01,debit,Delhi,Online,Restaurant,0
T000111,C0456,2025-08-16 02:50:12.988110,2296.39,debit,Delhi,Online,Grocery,1
T000112,C1486,2025-12-07 04:51:12.988110,203.97,debit,Mumbai,Online,Grocery,0
T000113,C1751,2025-12-31 06:18:12.988110,5077.81,debit,Hyderabad,Mobile Banking,Utilities,0
T000114,C1276,2025-11-15 19:32:12.988110,2252.16,debit,Chennai,Online,Restaurant,0
T000115,C1017,2025-10-29 23:33:12.988110,834.55,debit,Mumbai,Online,Utilities,0
T000116,C1726,2026-01-11 21:31:12.988110,13640.61,credit,Bangalore,Mobile Banking,Grocery,0
T000117,C0296,2025-10-04 16:06:12.988110,5070.06,debit,Delhi,POS,Restaurant,0
T000118,C1749,2025-12-31 08:49:12.988110,14111.39,credit,Kolkata,POS,Fuel,0
T000119,C0720,2025-11-16 08:13:12.988110,4373.09,debit,Chennai,Mobile Banking,Restaurant,0
T000120,C1773,2025-08-28 19:52:12.988110,329.97,debit,Delhi,Online,Fuel,0
T000121,C0338,2026-02-08 20:29:12.988110,151.99,debit,Mumbai,ATM,Fuel,0
T000122,C0879,2025-08-27 18:55:12.988110,11541.08,debit,Mumbai,POS,Grocery,0
T000123,C1077,2025-08-15 00:03:12.988110,197.49,debit,Mumbai,ATM,Grocery,1
T000124,C0792,2025-12-05 21:10:12.988110,4774.84,credit,Bangalore,Online,Utilities,0
T000125,C1946,2025-10-12 02:14:12.988110,1768.94,debit,Chennai,Mobile Banking,Grocery,1
T000126,C0217,2025-10-20 11:27:12.988110,5818.28,debit,Mumbai,POS,Grocery,0
T000127,C0764,2025-09-11 22:21:12.988110,1675.42,debit,Delhi,Mobile Banking,Fuel,0
T000128,C0188,2026-01-05 08:45:12.988110,189.66,debit,Bangalore,Online,Grocery,0
T000129,C0380,2025-12-02 20:52:12.988110,6562.22,debit,Bangalore,POS,Utilities,0
T000130,C0493,2025-08-23 22:50:12.988110,1861.86,debit,Hyderabad,POS,Grocery,0
T000131,C1065,2025-11-23 14:13:12.988110,4001.42,debit,Mumbai,ATM,Travel,0
T000132,C1181,2025-09-17 10:17:12.988110,7433.13,debit,Bangalore,Mobile Banking,Grocery,0
T000133,C0015,2026-01-21 06:38:12.988110,6067.14,debit,Bangalore,ATM,Grocery,0
T000134,C1837,2026-01-07 01:51:12.988110,2142.94,debit,Chennai,ATM,Electronics,1
T000135,C0065,2026-01-27 21:37:12.988110,6888.19,credit,Chennai,ATM,Restaurant,0
T000136,C1881,2025-12-14 12:04:12.988110,12996.94,debit,Mumbai,POS,Utilities,0
T000137,C1863,2025-09-29 12:53:12.988110,4707.72,debit,Delhi,Online,Grocery,0
T000138,C0521,2025-12-24 14:21:12.988110,6078.64,debit,Delhi,Online,Electronics,0
T000139,C1368,2025-11-09 12:44:12.988110,10046.15,debit,Bangalore,Mobile Banking,Restaurant,0
T000140,C1153,2026-02-05 06:51:12.988110,9277.99,credit,Delhi,Online,Fuel,0
T000141,C0648,2025-11-09 10:16:12.988110,2166.25,credit,Hyderabad,Online,Grocery,0
T000142,C1496,2025-09-28 23:44:12.988110,23957.86,credit,Hyderabad,Online,Shopping,0
T000143,C1087,2025-10-31 01:06:12.988110,144.91,credit,Chennai,ATM,Restaurant,0
T000144,C1163,2026-02-05 16:17:12.988110,21602.8,debit,Hyderabad,POS,Utilities,0
T000145,C1523,2025-10-09 04:11:12.988110,1411.8,debit,Bangalore,POS,Restaurant,0
T000146,C0593,2025-09-08 09:13:12.988110,2903.0,debit,Mumbai,POS,Restaurant,0
T000147,C0392,2025-12-30 15:55:12.988110,10757.43,debit,Kolkata,Online,Electronics,0
T000148,C1699,2025-12-17 05:24:12.988110,1400.74,credit,Mumbai,Mobile Banking,Electronics,0
T000149,C0419,2025-12-26 05:38:12.988110,1273.05,debit,Hyderabad,ATM,Fuel,0
T000150,C0289,2026-01-29 08:12:12.988110,5151.62,debit,Chennai,ATM,Fuel,0
T000151,C0379,2025-10-17 15:53:12.988110,6111.54,debit,Bangalore,Online,Travel,0
T000152,C1797,2025-12-27 06:06:12.988110,37.49,debit,Chennai,POS,Restaurant,0
T000153,C1514,2025-09-09 20:58:12.988110,2993.23,debit,Delhi,ATM,Electronics,0
T000154,C0231,2026-02-02 16:37:12.988110,3357.99,debit,Hyderabad,POS,Electronics,0
T000155,C1018,2025-09-14 19:03:12.988110,1586.14,credit,Mumbai,Online,Grocery,0
T000156,C0041,2025-09-24 22:14:12.988110,3949.5,debit,Delhi,ATM,Travel,0
T000157,C1052,2025-12-16 16:47:12.988110,839.59,debit,Chennai,Mobile Banking,Fuel,0
T000158,C0135,2025-08-29 05:15:12.988110,1954.9,credit,Delhi,Mobile Banking,Utilities,0
T000159,C0201,2025-08-29 11:47:12.988110,6245.53,credit,Kolkata,ATM,Restaurant,0
T000160,C1864,2025-10-07 22:26:12.988110,10348.9,credit,Hyderabad,Online,Grocery,0
T000161,C0780,2025-10-18 08:44:12.988110,4450.42,debit,Kolkata,Mobile Banking,Shopping,0
T000162,C0930,2026-01-12 04:58:12.988110,388.97,debit,Bangalore,Online,Fuel,0
T000163,C1057,2026-01-03 04:52:12.988110,5677.61,debit,Chennai,POS,Utilities,0
T000164,C1072,2025-11-13 18:42:12.988110,11394.24,credit,Kolkata,Mobile Banking,Travel,0
T000165,C0503,2025-12-12 16:44:12.988110,3509.06,debit,Mumbai,Online,Grocery,0
T000166,C0407,2025-10-30 22:08:12.988110,3403.05,debit,Hyderabad,Online,Travel,0
T000167,C1598,2025-08-21 16:02:12.988110,23787.87,debit,Chennai,POS,Shopping,0
T000168,C1752,2025-10-31 16:39:12.988110,5057.1,credit,Kolkata,POS,Utilities,0
T000169,C0805,2025-11-11 21:43:12.988110,8200.23,debit,Delhi,Mobile Banking,Shopping,0
T000170,C0099,2025-11-14 12:52:12.988110,5199.27,credit,Delhi,POS,Utilities,0
T000171,C0684,2026-01-26 15:17:12.988110,1248.18,debit,Kolkata,Mobile Banking,Restaurant,0
T000172,C1896,2025-11-06 10:33:12.988110,1670.92,debit,Mumbai,Online,Utilities,0
T000173,C0726,2025-11-14 03:58:12.988110,5478.67,credit,Kolkata,Mobile Banking,Travel,0
T000174,C1571,2026-01-30 13:58:12.988110,3044.68,debit,Mumbai,POS,Fuel,0
T000175,C0961,2025-12-06 23:18:12.988110,2590.49,credit,Mumbai,POS,Grocery,0
T000176,C1763,2025-12-30 14:39:12.988110,113.54,debit,Bangalore,Mobile Banking,Utilities,0
T000177,C0613,2025-11-17 02:50:12.988110,10786.76,debit,Mumbai,POS,Electronics,1
T000178,C1967,2025-09-17 04:34:12.988110,10792.33,debit,Mumbai,ATM,Shopping,0
T000179,C1486,2025-10-09 04:11:12.988110,3089.93,credit,Mumbai,POS,Utilities,0
T000180,C0643,2025-11-13 05:24:12.988110,6032.2,credit,Mumbai,ATM,Shopping,0
T000181,C1793,2025-08-27 03:14:12.988110,978.98,debit,Delhi,Online,Restaurant,0
T000182,C1029,2025-09-19 13:53:12.988110,3503.99,debit,Chennai,Online,Travel,0
T000183,C1242,2025-10-23 23:21:12.988110,2888.97,debit,Mumbai,Mobile Banking,Electronics,0
T000184,C0503,2026-01-05 14:46:12.988110,5344.49,credit,Bangalore,POS,Travel,0
T000185,C0767,2025-11-25 17:53:12.988110,3171.05,debit,Delhi,Mobile Banking,Electronics,0
T000186,C0398,2025-12-07 07:03:12.988110,3450.1,debit,Delhi,ATM,Grocery,0
T000187,C0871,2026-01-13 07:32:12.988110,1752.84,credit,Bangalore,ATM,Travel,0
T000188,C0795,2025-12-31 06:34:12.988110,248.17,credit,Hyderabad,POS,Restaurant,0
T000189,C0393,2025-08-16 15:50:12.988110,12446.13,credit,Chennai,Online,Electronics,0
T000190,C0207,2025-08-14 04:16:12.988110,61.54,debit,Chennai,POS,Utilities,0
T000191,C1039,2025-10-13 13:56:12.988110,1651.73,debit,Mumbai,POS,Grocery,0
T000192,C1882,2026-01-10 21:18:12.988110,2967.51,debit,Mumbai,Mobile Banking,Shopping,0
T000193,C1578,2025-10-11 22:37:12.988110,1921.64,debit,Mumbai,POS,Fuel,0
T000194,C0892,2025-10-30 07:14:12.988110,4013.89,debit,Delhi,Mobile Banking,Shopping,0
T000195,C1485,2025-09-29 06:27:12.988110,3095.89,debit,Mumbai,Mobile Banking,Electronics,0
T000196,C1715,2026-02-01 02:26:12.988110,1475.05,debit,Delhi,POS,Grocery,1
T000197,C1599,2025-08-29 19:38:12.988110,460.69,debit,Bangalore,Online,Travel,0
T000198,C0864,2025-08-19 12:50:12.988110,739.81,debit,Kolkata,ATM,Travel,0
T000199,C0743,2025-08-26 11:42:12.988110,3330.77,debit,Delhi,Online,Restaurant,0
T000200,C1265,2025-11-06 09:10:12.988110,9352.25,debit,Delhi,Mobile Banking,Grocery,0
T000201,C0564,2026-01-27 18:10:12.988110,530.35,debit,Chennai,Mobile Banking,Shopping,0
T000202,C1021,2025-11-08 10:13:12.988110,5653.71,debit,Kolkata,Mobile Banking,Fuel,0
T000203,C0096,2025-08-26 08:52:12.988110,7853.28,debit,Bangalore,POS,Electronics,0
T000204,C1924,2025-09-19 09:38:12.988110,1620.16,debit,Hyderabad,Mobile Banking,Utilities,0
T000205,C1758,2025-09-29 21:17:12.988110,5516.71,debit,Mumbai,POS,Fuel,0
T000206,C0485,2025-11-06 01:51:12.988110,5802.3,credit,Bangalore,ATM,Shopping,0
T000207,C1431,2025-10-27 18:36:12.988110,6151.46,credit,Hyderabad,Online,Restaurant,0
T000208,C0231,2025-10-14 02:26:12.988110,11073.29,credit,Delhi,Online,Fuel,0
T000209,C0749,2025-11-02 10:58:12.988110,2541.86,debit,Hyderabad,Online,Fuel,0
T000210,C1679,2026-01-08 04:36:12.988110,1396.51,debit,Chennai,Online,Shopping,0
T000211,C1195,2025-09-13 17:14:12.988110,3924.61,debit,Delhi,Online,Fuel,0
T000212,C0541,2025-12-28 13:33:12.988110,322.95,debit,Chennai,Mobile Banking,Travel,0
T000213,C1060,2026-01-04 19:18:12.988110,2031.73,credit,Bangalore,ATM,Electronics,0
T000214,C0525,2025-12-22 07:59:12.988110,10737.54,debit,Chennai,Mobile Banking,Electronics,0
T000215,C1184,2025-11-04 11:29:12.988110,3797.05,credit,Hyderabad,ATM,Utilities,0
T000216,C1863,2025-10-26 04:42:12.988110,2869.5,debit,Delhi,Mobile Banking,Travel,0
T000217,C1723,2025-09-12 13:39:12.988110,1544.08,debit,Delhi,Online,Restaurant,0
T000218,C1267,2025-11-14 16:04:12.988110,1440.92,debit,Delhi,ATM,Grocery,0
T000219,C1110,2025-09-26 20:37:12.988110,1349.94,debit,Hyderabad,Mobile Banking,Utilities,0
T000220,C1820,2026-01-30 13:06:12.988110,8837.3,debit,Hyderabad,POS,Grocery,0
T000221,C0578,2025-10-04 07:30:12.988110,21005.32,debit,Chennai,ATM,Travel,0
T000222,C0682,2025-09-27 01:32:12.988110,3826.42,credit,Delhi,ATM,Shopping,0
T000223,C0557,2025-10-21 08:00:12.988110,416.0,debit,Chennai,ATM,Utilities,0
T000224,C1598,2025-08-31 19:17:12.988110,6952.3,debit,Delhi,POS,Fuel,0
T000225,C1977,2025-10-07 21:57:12.988110,10480.07,debit,Kolkata,POS,Travel,0
T000226,C1013,2025-10-31 03:13:12.988110,13384.81,debit,Delhi,Mobile Banking,Shopping,0
T000227,C0646,2025-08-28 05:26:12.988110,4954.74,debit,Bangalore,POS,Restaurant,0
T000228,C0796,2026-01-19 23:34:12.988110,3535.02,debit,Bangalore,ATM,Shopping,0
T000229,C1052,2025-08-23 08:17:12.988110,4844.86,debit,Delhi,Online,Shopping,0
T000230,C1644,2025-11-04 16:10:12.988110,65.18,debit,Bangalore,Mobile Banking,Shopping,0
T000231,C1580,2025-09-12 09:24:12.988110,5327.14,debit,Mumbai,Online,Travel,0
T000232,C1364,2026-01-27 00:03:12.988110,6183.28,debit,Delhi,POS,Grocery,1
T000233,C1822,2026-01-11 03:46:12.988110,6401.22,credit,Delhi,Online,Restaurant,0
T000234,C1982,2025-10-16 04:09:12.988110,4139.93,debit,Chennai,ATM,Travel,0
T000235,C1355,2025-10-07 13:54:12.988110,6020.6,debit,Mumbai,Online,Travel,0
T000236,C1664,2025-11-22 03:00:12.988110,5092.07,debit,Mumbai,Mobile Banking,Travel,0
T000237,C1530,2025-10-27 23:33:12.988110,613.82,debit,Mumbai,Mobile Banking,Fuel,0
T000238,C1372,2026-01-24 01:03:12.988110,11431.92,debit,Kolkata,ATM,Fuel,1
T000239,C1497,2025-10-25 07:17:12.988110,4873.94,debit,Delhi,Online,Fuel,0
T000240,C1255,2025-10-26 23:01:12.988110,6505.99,debit,Mumbai,ATM,Utilities,0
T000241,C0190,2025-12-30 21:41:12.988110,2099.5,debit,Hyderabad,Mobile Banking,Travel,0
T000242,C1249,2025-11-10 10:22:12.988110,12581.34,credit,Bangalore,ATM,Electronics,0
T000243,C1409,2026-02-04 14:43:12.988110,3491.96,credit,Mumbai,POS,Shopping,0
T000244,C1401,2025-10-01 23:28:12.988110,5681.66,debit,Mumbai,Mobile Banking,Shopping,0
T000245,C1307,2025-10-12 08:06:12.988110,15201.77,debit,Bangalore,Mobile Banking,Travel,0
T000246,C1982,2025-09-12 23:07:12.988110,12389.62,credit,Chennai,Mobile Banking,Utilities,0
T000247,C0633,2025-11-26 19:35:12.988110,5175.35,debit,Hyderabad,POS,Electronics,0
T000248,C0628,2025-09-10 01:30:12.988110,906.06,debit,Kolkata,Online,Grocery,1
T000249,C0973,2025-11-18 20:33:12.988110,15035.83,debit,Chennai,ATM,Travel,0
T000250,C1769,2025-12-19 11:03:12.988110,20718.42,debit,Bangalore,Mobile Banking,Electronics,0
T000251,C1283,2026-01-12 02:20:12.988110,545.71,debit,Chennai,Online,Electronics,1
T000252,C1383,2025-11-26 18:42:12.988110,2991.89,debit,Bangalore,POS,Shopping,0
T000253,C0710,2025-08-15 19:35:12.988110,3973.19,credit,Delhi,Online,Restaurant,0
T000254,C1480,2025-12-17 13:28:12.988110,483.0,debit,Chennai,POS,Electronics,0
T000255,C1435,2025-11-12 13:00:12.988110,1051.63,credit,Delhi,Online,Grocery,0
T000256,C0649,2025-12-20 22:44:12.988110,3857.76,credit,Kolkata,Mobile Banking,Utilities,0
T000257,C0318,2025-10-26 08:52:12.988110,16496.29,credit,Kolkata,ATM,Electronics,0
T000258,C1701,2025-11-30 06:34:12.988110,141.02,debit,Hyderabad,Online,Electronics,0
T000259,C1249,2025-12-27 13:44:12.988110,12177.33,debit,Delhi,Mobile Banking,Restaurant,0
T000260,C1843,2025-11-16 11:06:12.988110,11443.81,debit,Chennai,Online,Electronics,0
T000261,C1258,2025-09-21 14:36:12.988110,9730.8,debit,Kolkata,Online,Fuel,0
T000262,C0684,2025-08-19 01:48:12.988110,2370.47,debit,Bangalore,Mobile Banking,Electronics,1
T000263,C0664,2025-08-26 11:34:12.988110,3374.8,credit,Bangalore,Mobile Banking,Shopping,0
T000264,C1999,2025-10-27 09:21:12.988110,2584.17,credit,Mumbai,Online,Electronics,0
T000265,C1851,2025-09-10 20:35:12.988110,14742.93,debit,Kolkata,ATM,Restaurant,0
T000266,C1398,2025-12-27 12:47:12.988110,3683.93,debit,Hyderabad,POS,Restaurant,0
T000267,C1696,2025-12-06 09:22:12.988110,420.24,debit,Hyderabad,Mobile Banking,Grocery,0
T000268,C1632,2025-09-22 16:08:12.988110,1601.44,debit,Chennai,Online,Utilities,0
T000269,C1496,2025-12-26 07:56:12.988110,3099.79,credit,Chennai,Mobile Banking,Travel,0
T000270,C1257,2026-01-28 16:42:12.988110,15347.53,debit,Delhi,ATM,Grocery,0
T000271,C1716,2025-08-15 13:31:12.988110,4207.67,debit,Kolkata,ATM,Grocery,0
T000272,C1137,2025-12-07 23:54:12.988110,5954.83,debit,Bangalore,Mobile Banking,Shopping,0
T000273,C1854,2026-01-18 06:31:12.988110,463.43,credit,Bangalore,Online,Shopping,0
T000274,C1521,2026-01-05 19:43:12.988110,10491.04,debit,Bangalore,ATM,Restaurant,0
T000275,C0442,2025-10-01 02:03:12.988110,3871.98,debit,Kolkata,ATM,Electronics,1
T000276,C0564,2026-01-20 07:38:12.988110,12706.01,credit,Bangalore,POS,Utilities,0
T000277,C1292,2025-10-13 19:37:12.988110,2948.23,debit,Delhi,POS,Fuel,0
T000278,C1534,2025-11-23 07:06:12.988110,5745.59,debit,Delhi,Mobile Banking,Utilities,0
T000279,C1831,2025-11-24 00:46:12.988110,3182.31,debit,Kolkata,ATM,Fuel,1
T000280,C1410,2025-10-05 09:33:12.988110,769.01,debit,Kolkata,ATM,Electronics,0
T000281,C1411,2025-08-16 08:01:12.988110,1587.61,debit,Mumbai,ATM,Shopping,0
T000282,C1137,2025-11-21 01:39:12.988110,348.13,debit,Mumbai,Mobile Banking,Grocery,1
T000283,C1637,2025-08-16 03:16:12.988110,2901.47,credit,Mumbai,POS,Fuel,0
